PROGRAMACION DE VUELOS         VERSION 14 EMITIDA  13:30 LT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23/09/2016;;;;;;
;Mat;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;;Orig;Dep;t.vlo;Arr;Dest;
;AYD;JUJ;07:30;651;07:50;SLA;00:30;SLA;08:20;851;10:20;AEP;01:40;AEP;12:00;550;13:55;PMY;01:05;PMY;15:00;551;16:45;AEP;;AEP;17:50;856;20:00;SLA;00:30;SLA;20:30;656;20:50;JUJ;;;;;;;
;Y165;;10:30;00:20;10:50;;;;11:20;02:00;13:20;;;;15:00;01:55;16:55;;;;18:00;01:45;19:45;;;;20:50;02:10;23:00;;;;23:30;00:20;23:50;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VIERNES;WGN;;;;;;;AEP;08:00;660;10:20;BRC;01:00;BRC;11:20;661;13:20;AEP;01:00;AEP;14:20;662;16:40;BRC;01:00;BRC;17:40;663;19:40;AEP;;;;;;;;;;;;;
;Y165;;;;;;;;11:00;02:20;13:20;;;;14:20;02:00;16:20;;;;17:20;02:20;19:40;;;;20:40;02:00;22:40;;;;;;;;;;;;;;
;CCJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Y165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;WGM;;;;;;;BRC;10:00;641;12:00;ROS;01:00;ROS;13:00;640;15:15;BRC;;;;;;;;;;;;;;;;;;;;;;;;;
SEPTIEMBRE;Y165;;;;;;;;13:00;02:00;15:00;;;;16:00;02:15;18:15;;;;;;;;;;;;;;;;;;;;;;;;;;
;AYD;JUJ;07:30;651;07:50;SLA;00:30;SLA;08:20;851;10:20;AEP;01:40;AEP;12:00;550;13:55;PMY;01:05;PMY;15:00;551;16:45;AEP;;AEP;17:50;856;20:00;SLA;00:30;SLA;20:30;656;20:50;JUJ;;;;;;;
;Y165;;10:30;00:20;10:50;;;;11:20;02:00;13:20;;;;15:00;01:55;16:55;;;;18:00;01:45;19:45;;;;20:50;02:10;23:00;;;;23:30;00:20;23:50;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
